Rute Bis Mudik Bersama KemensetnegTahun 2026,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,7,,,,7,280,5,,,,5,,,,200,,,,,,
No.,Tujuan,Trayek,Bis Bank Mandiri,Seats Tersedia Mandiri (50/bus),Seats Terisi Mandiri,Sisa Mandiri,Revisi Bis Mandiri,Jumlah Penumpang Mandiri,Bis Taspen,Seats Tersedia Taspen (40/bus),Seats Terisi Taspen,Sisa Taspen,Bis BNI,Seats Tersedia BNI (40/bus),Seats Terisi BNI,Sisa BNI,Jumlah Penumpang Taspen,Kuota Keseluruhan,,TOTAL KURSI,TOTAL PENUMPANG,SISA KURSI,SISA KURSI (%)
1,Surabaya via Pantura,Tegal - Pekalongan - Kendal - Semarang - Demak - Kudus - Pati - Tuban - Lamongan - Gresik - Surabava,2,100,100,0,1,40,2,80,36,44,0,0,,0,80,120,,180,136,44,24.44%
2,Solo via Wonosobo,Subang - Cirebon - Purwokerto - Banjarnegara - Wonosobo - Temanggung - Ambarawa - Solo,1,50,50,0,1,40,0,0,,0,1,40,34,6,0,40,,90,84,6,6.67%
3,Pacitan via Wonogiri,Pemalang - Semarang - Salatiga - Karanganyar - Wonogiri - Pacitan,1,50,50,0,3,120,0,0,,0,2,80,57,23,0,120,,130,107,23,17.69%
4,Pacitan via Selatan,Cirebon - Purwokerto - Kebumen - Yogyakarta - Pacitan,1,50,16,34,1,40,0,0,,0,0,0,,0,0,40,,50,16,34,68.00%
5,Malang via Yogyakarta,Cirebon - Tegal - Purwokerto - Kebumen - Yogyakarta - Klaten - Solo - Madiun - Nganjuk - Sidoarjo - Malang,1,50,50,0,1,40,1,40,26,14,1,40,,40,40,80,,130,76,54,41.54%
6,Yogyakarta via Cilacap,Bandung - Tasikmalaya - Banjar - Cilacap - Kebumen - Purworejo - Yogyakarta,1,50,50,0,0,0,2,80,74,6,1,40,,40,80,80,,170,124,46,27.06%
,,,,350,316,34,,,,200,136,64,,200,91,109,,,TOTAL,750,543,207,27.60%
